country,keyword,search_volume,cpc,competition_level,source,difficulty,relevance,score
pt,metro porto,90500,0.81,LOW,seed,6,7,59390.6
es,metrovalencia horarios,201000,0,LOW,w3,27,7,57040.5
es,tiempo madrid hoy,201000,0,LOW,w3,43,10,56886.8
es,mapa metro madrid,135000,0.07,LOW,w3,15,7,56700.0
es,linea de metro 6 madrid,90500,0,LOW,w3,7,7,55897.1
es,metro 6 madrid,90500,0,LOW,w3,7,7,55897.1
pt,meteorologia setubal,74000,0.12,LOW,w3,10,10,55500.0
es,estación Chamartín,40500,0.09,LOW,seed,0,9,54675.0
es,estación de autobuses de toledo,40500,0.13,LOW,w3,0,9,54675.0
es,estación de servicio madese repsol,40500,0.2,LOW,w5,0,9,54675.0
es,metro madrid,301000,0.64,LOW,seed,48,7,54491.4
es,calidad aire,201000,0.24,LOW,seed,35,8,53600.0
es,radar lluvia,165000,0.18,LOW,seed,32,9,53035.7
pt,meteorologia viana castelo,49500,0,LOW,w3,4,10,53035.7
es,puerto de sagunto,60500,0.82,LOW,w3,2,7,52937.5
es,madrid metro linea 5,49500,0,LOW,w3,0,7,51975.0
es,estación de autobuses donostia,40500,0.15,LOW,w3,1,9,49704.5
pt,meteorologia em agualva-cacém,33100,0.45,LOW,w3,0,10,49650.0
pt,meteorologia viana do castelo,49500,0,LOW,w3,5,10,49500.0
es,metro bilbao horarios,49500,0.53,LOW,w3,1,7,47250.0
es,el tiempo bilbao,201000,0,LOW,w3,54,10,47109.4
es,tiempo en bilbao,201000,1.08,LOW,w3,54,10,47109.4
es,puerto de la cruz,201000,0.73,LOW,w3,36,7,45880.4
es,atocha madrid,60500,0.91,LOW,w3,8,9,45375.0
es,linea metro 6 madrid,90500,0,LOW,w3,11,7,45250.0
pt,meteorologia em agualva cacém,33100,0.29,LOW,w3,1,10,45136.4
pt,aeroporto francisco sá carneiro,165000,0.36,LOW,w3,34,8,45000.0
es,cercanías Sevilla,33100,0.77,LOW,seed,0,9,44685.0
es,estación de chamartín madrid,33100,0.04,LOW,w3,0,9,44685.0
es,estación de autobuses de pamplona,33100,0.46,LOW,w3,0,9,44685.0
pt,tempo Viseu,60500,0,LOW,seed,11,10,43214.3
es,playa puerto banús,40500,0.22,LOW,w3,0,7,42525.0
es,pisos alquiler barcelona,40500,0.46,LOW,w3,0,7,42525.0
es,vuelos baratos,550000,0.45,HIGH,w3,95,8,41904.8
pt,previsão do tempo,165000,0.34,LOW,w3,50,10,41250.0
pt,preço combustível,110000,1.06,LOW,seed,22,8,41250.0
pt,meteorologia sintra,49500,0.22,LOW,w3,8,10,41250.0
es,puerto del carmen,74000,0.78,LOW,w3,9,7,40894.7
es,estación de carga de vehículos eléctricos,60500,0.25,LOW,w3,10,9,40837.5
es,madrid meteoblue,27100,0,LOW,w3,0,10,40650.0
pt,vila do conde tempo,27100,0,LOW,w3,0,10,40650.0
es,mapa política españa,60500,0.03,MEDIUM,w3,2,8,40333.3
es,el tiempo: vigo,90500,0,LOW,w3,24,10,39926.5
pt,preços dos combustíveis próxima semana,33100,0,LOW,w3,0,8,39720.0
pt,chegadas aeroporto lisboa,33100,0.55,LOW,w3,0,8,39720.0
pt,chegada aeroporto porto,33100,0.27,LOW,w3,0,8,39720.0
pt,chegadas aeroporto porto,33100,0.27,LOW,w3,0,8,39720.0
pt,chegadas aeroporto madeira,33100,8.17,LOW,w3,0,8,39720.0
es,horario republica dominicana,33100,0,LOW,w3,0,8,39720.0
pt,meteorologia vila real,49500,0.17,LOW,w3,9,10,39078.9
es,estación de autobuses de a coruña,40500,0.43,LOW,w3,4,9,39053.6
pt,meteorologia em santo tirso,33100,0.2,LOW,w3,3,10,38192.3
pt,meteorologia matosinhos,60500,0,LOW,w3,14,10,37812.5
es,estación de madrid puerta de atocha,33100,0.26,LOW,w3,2,9,37237.5
es,aemet alicante,74000,0,LOW,w3,20,10,37000.0
es,el tiempo en el puerto de santa maria,90500,0,LOW,w5,27,10,36689.2
es,manifestación madrid hoy,27100,0,LOW,w3,0,9,36585.0
es,manifestacion hoy madrid,27100,0,LOW,w3,0,9,36585.0
es,madrid hoy manifestación,27100,0,LOW,w3,0,9,36585.0
es,manifestaciones en madrid hoy,27100,0,LOW,w3,0,9,36585.0
es,estación de autobuses prado de san sebastián,27100,0.1,LOW,w3,0,9,36585.0
es,estación de avenida de américa,27100,0.25,LOW,w5,0,9,36585.0
es,estación de tren cerca de mi,27100,0.05,LOW,w5,0,9,36585.0
es,aeropuerto madrid barajas t4 madrid,90500,0.36,LOW,w3,20,8,36200.0
es,aemet madrid por horas,40500,0,LOW,w3,7,10,35735.3
pt,meteorologia cascais,33100,0.23,LOW,w3,4,10,35464.3
es,tiempo: algeciras,49500,0,LOW,w3,11,10,35357.1
es,tiempo en algeciras,49500,0,LOW,w3,11,10,35357.1
es,plano de metro de madrid,90500,0.04,LOW,w3,17,7,35194.4
es,el tiempo en Murcia,110000,0,LOW,seed,37,10,35106.4
es,metro sevilla,33100,0.75,LOW,seed,0,7,34755.0
es,metro madrid linea 6,90500,0,LOW,w3,18,7,33937.5
pt,aeroporto,90500,0.07,LOW,w3,22,8,33937.5
pt,meteorologia felgueiras,27100,0.37,LOW,w3,2,10,33875.0
pt,ipma tempo,135000,0.18,LOW,seed,50,10,33750.0
pt,ponte de lima tempo,22200,0,LOW,w3,0,10,33300.0
es,hoy manifestacion madrid,27100,0,LOW,w3,1,9,33259.1
es,estación de autobuses cerca de mí,27100,0.06,LOW,w5,1,9,33259.1
es,estación de autobuses de gijón alsa,27100,0.43,LOW,w5,1,9,33259.1
pt,meteorologia torres vedras,33100,0,LOW,w3,5,10,33100.0
es,tiempo Palma,74000,0,LOW,seed,24,10,32647.1
es,clima madrid hoy,74000,1.58,LOW,w3,24,10,32647.1
es,costa rica hora,27100,0,LOW,w3,0,8,32520.0
pt,partidas aeroporto lisboa,27100,0.37,LOW,w3,0,8,32520.0
es,madrid cercanias horarios,74000,1.03,LOW,w3,21,9,32225.8
es,aemet en huelva,40500,0,LOW,w3,9,10,31973.7
es,renfe cercanias sevilla,33100,0.72,LOW,w3,4,9,31917.9
es,nota examen dgt,49500,2.29,LOW,w3,11,9,31821.4
es,tiempo huelva,74000,0,LOW,w3,25,10,31714.3
es,ave valencia madrid,74000,0.77,MEDIUM,w3,11,9,31714.3
es,línea 6 metro madrid,90500,0,LOW,w3,20,7,31675.0
es,linea 6 de metro madrid,90500,0,LOW,w3,20,7,31675.0
es,linea 7 de metro madrid,33100,0,LOW,w3,1,7,31595.5
es,meteoblue madrid,27100,0,LOW,w3,3,10,31269.2
pt,tempo em povoa de varzim,33100,0.39,LOW,w3,6,10,31031.2
pt,aeroporto lisboa chegadas,33100,0.55,LOW,seed,3,8,30553.8
es,república dominicana hora,33100,0,LOW,w3,3,8,30553.8
es,republica dominicana hora,33100,0,LOW,w3,3,8,30553.8
es,hora en republica dominicana,33100,0,LOW,w3,3,8,30553.8
es,republica dominicana horario,33100,0,LOW,w3,3,8,30553.8
es,hora en la república dominicana,33100,0,LOW,w3,3,8,30553.8
es,aeropuerto,201000,0.22,LOW,w3,69,8,30531.6
es,resultados examen dgt,49500,0,LOW,w3,12,9,30375.0
pt,meteorologia albufeira,22200,0,LOW,w3,1,10,30272.7
pt,tempo Aveiro,74000,0.21,LOW,seed,27,10,30000.0
es,tiempo madrid 14 dias,74000,0,LOW,w3,27,10,30000.0
es,estación de tren de coruña provisional,22200,0.28,LOW,w3,0,9,29970.0
es,estación de servicio petrocat repsol,22200,0.25,LOW,w5,0,9,29970.0
es,linea 6 metro madrid,90500,0,LOW,w3,22,7,29695.3
es,rodalies,110000,0.77,LOW,seed,41,9,29117.6
pt,meteorologia oeiras,27100,0.14,LOW,w3,4,10,29035.7
pt,meteorologia quarteira,27100,0.24,LOW,w3,4,10,29035.7
pt,quarteira meteorologia,27100,0.24,LOW,w3,4,10,29035.7
pt,tempo cascais,27100,0.25,LOW,w3,4,10,29035.7
es,el tiempo en madrid 14 dias,135000,0.01,LOW,w3,60,10,28928.6
es,metro madrid línea 6,90500,0,LOW,w3,23,7,28795.5
es,cinesa puerto venecia,27100,0.02,LOW,w3,0,7,28455.0
es,puerto lumbreras,27100,2.63,LOW,w3,0,7,28455.0
es,cercanias valencia,60500,0.78,LOW,w3,19,9,28163.8
