country,keyword,search_volume,difficulty,cpc,competition_level,relevance,score
es,linea 1 de metro madrid,40500,30,0,LOW,7,10631.2
es,eltiempo.es madrid,49500,60,0.01,LOW,10,10607.1
pt,alfandega do porto,22200,12,0.59,LOW,7,10595.5
es,aemet tiempo: madrid,33100,37,0,LOW,10,10563.8
es,línea 3 metro madrid,33100,23,0,LOW,7,10531.8
pt,metro lisboa,135000,80,0.3,,7,10500.0
es,metro madrid linea 1,40500,31,0,LOW,7,10372.0
es,clima valencia,33100,38,0,LOW,10,10343.8
pt,ipma previsão alargada 25 dias,27100,30,0.33,LOW,10,10162.5
es,dgt estado carreteras,49500,57,1.58,LOW,9,9973.9
es,gran canaria tiempo,27100,31,0,LOW,10,9914.6
es,estación Atocha,40500,27,0.05,,9,9851.4
pt,ipo porto,27100,19,0.21,LOW,7,9812.1
pt,porto gil vicente,14800,6,0,LOW,7,9712.5
es,carpeta ciudadana madrid,33100,31,0,LOW,8,9687.8
es,barcelona prevision tiempo,33100,42,0,LOW,10,9548.1
es,canal sur radio directo,40500,41,0.02,LOW,8,9529.4
es,puerto de Valencia,27100,10,0.48,,7,9485.0
es,metro madrid linea 3,33100,27,0,LOW,7,9393.2
es,linea 3 metro madrid,33100,27,0,LOW,7,9393.2
pt,porto famalicao,22200,15,0.49,LOW,7,9324.0
pt,aeroporto do porto,33100,34,1.45,LOW,8,9027.3
es,correo universidad politecnica de madrid,60500,71,0,LOW,8,8963.0
es,puntos dgt,33100,41,1.72,LOW,9,8761.8
pt,tempo para 10 dias,22200,29,0,LOW,10,8538.5
pt,resultados eleitorais autárquicas 2025,14800,11,0,LOW,8,8457.1
es,clima hoy barcelona,27100,39,0.33,LOW,10,8295.9
pt,sao joao porto,14800,9,0.17,LOW,7,8178.9
pt,mapa metro lisboa,27100,25,0.19,LOW,7,8130.0
pt,tempo porto hoje,14800,18,0.2,LOW,10,7928.6
pt,porto coliseu,18100,14,1.59,LOW,7,7918.7
es,informe dgt,33100,47,2.48,LOW,9,7839.5
es,cb canarias,40500,52,0.58,LOW,8,7838.7
pt,linhas metro lisboa,27100,27,0.68,LOW,7,7690.5
es,aemet tenerife,27100,43,0.17,LOW,10,7669.8
pt,boavista porto,18100,15,0.57,LOW,7,7602.0
es,metro madrid linea 7,33100,36,0,LOW,7,7555.4
pt,horarios metro porto,14800,11,0.9,LOW,7,7400.0
es,clima en sevilla españa,49500,92,2.51,LOW,10,7279.4
pt,mau tempo em portugal,14800,21,0,LOW,10,7161.3
es,tiempo y radar,40500,75,0.34,LOW,10,7147.1
es,carpeta ciudadana comunidad de madrid,33100,48,0,LOW,8,6848.3
es,previsión tiempo barcelona,33100,63,0,LOW,10,6801.4
es,previsión tiempo: barcelona,33100,63,0,LOW,10,6801.4
pt,tempo amanhã,33100,65,0.13,LOW,10,6620.0
pt,fc porto bilhetes,18100,19,0.03,LOW,7,6553.4
pt,previsão do tempo hoje,18100,32,0,LOW,10,6464.3
es,casa prefabricada,33100,31,0.12,HIGH,8,6458.5
pt,ipma leiria,14800,26,0,LOW,10,6166.7
pt,hospital santa maria porto,18100,21,0.37,LOW,7,6130.6
pt,jogo do porto,33100,47,0.48,LOW,7,6097.4
es,tiempo Las Palmas,27100,36,0,,10,5891.3
pt,portagens,18100,18,1.04,,9,5817.9
es,el tiempo hoy,60500,96,0,,10,5707.5
pt,ana aeroportos,22200,23,2.48,,8,5381.8
pt,ipma setubal,14800,34,0,LOW,10,5045.5
pt,lusiada porto,14800,22,1.05,LOW,7,4856.2
es,precio gasolina hoy,27100,35,0.4,,8,4817.8
es,noticias canarias,40500,91,0,LOW,8,4811.9
es,dana,33100,47,2.2,,8,4645.6
pt,faculdade de ciências da universidade do porto,14800,25,0.22,LOW,7,4440.0
es,noticias en granada,33100,82,0,LOW,8,4317.4
pt,tempo em lisboa ipma,18100,53,0,LOW,10,4309.5
pt,horario metro porto,14800,27,0.9,LOW,7,4200.0
pt,metro porto horario,14800,27,0.9,LOW,7,4200.0
pt,lisboa tempo ipma,18100,55,0,LOW,10,4176.9
es,radar de lluvia,33100,97,0.23,LOW,9,4176.2
pt,ipma tempo lisboa,18100,57,0,LOW,10,4052.2
pt,feup faculdade de engenharia da universidade do porto,18100,38,0.16,LOW,7,3959.4
pt,fc porto hoje,22200,49,0.13,LOW,7,3950.8
es,el tiempo en Las Palmas,27100,65,0,,10,3613.3
pt,meteorologia 14 dias,14800,55,0.27,LOW,10,3415.4
pt,porto portugal,27100,74,0.89,LOW,7,3387.5
pt,universidade do porto,18100,52,0.96,LOW,7,3065.3
pt,motel porto,18100,41,0.32,HIGH,7,2484.3
