country,keyword,search_volume,difficulty,cpc,competition_level,relevance,score
es,metro 6 madrid,90500,7,0,LOW,7,55897.1
es,tiempo Valencia,450000,71,1.25,,10,55555.6
es,el tiempo en Valencia,450000,71,1.25,,10,55555.6
pt,meteorologia setubal,74000,10,0.12,LOW,10,55500.0
es,avenida de madrid,40500,0,0.32,LOW,9,54675.0
es,avenida de andalucía,40500,0,0.32,LOW,9,54675.0
es,estación de autobuses de toledo,40500,0,0.13,LOW,9,54675.0
es,estación de servicio madese repsol,40500,0,0.2,LOW,9,54675.0
pt,tempo Braga,135000,15,0.61,,10,54000.0
pt,meteorologia viana castelo,49500,4,0,LOW,10,53035.7
es,puerto de sagunto,60500,2,0.82,LOW,7,52937.5
pt,hospital cuf porto,60500,2,1.03,LOW,7,52937.5
es,madrid metro linea 5,49500,0,0,LOW,7,51975.0
es,hora peruana,90500,11,0,LOW,8,51714.3
es,tiempo Málaga,201000,29,0,,10,51538.5
pt,porto moniz,90500,9,0.72,LOW,7,50013.2
es,estación de autobuses donostia,40500,1,0.15,LOW,9,49704.5
pt,meteorologia em agualva-cacém,33100,0,0.45,LOW,10,49650.0
pt,meteorologia viana do castelo,49500,5,0,LOW,10,49500.0
pt,eleições autarquicas 2025,90500,12,0,LOW,8,49363.6
es,tiempo Oviedo,201000,31,0,,10,49024.4
es,horario en canarias,40500,0,0,LOW,8,48600.0
es,tiempo Vigo,165000,24,0,,10,48529.4
es,metro bilbao,201000,19,0.23,,7,48517.2
es,tiempo Vitoria,135000,18,0,,10,48214.3
es,el tiempo en Sevilla,301000,53,1.45,,10,47777.8
es,metro bilbao horarios,49500,1,0.53,LOW,7,47250.0
pt,porto covo,49500,1,1.11,LOW,7,47250.0
es,el tiempo bilbao,201000,54,0,LOW,10,47109.4
es,tiempo en bilbao,201000,54,1.08,LOW,10,47109.4
es,tiempo Gijón,135000,19,0,,10,46551.7
es,puerto de la cruz,201000,36,0.73,LOW,7,45880.4
es,atocha madrid,60500,8,0.91,LOW,9,45375.0
pt,tempo Coimbra,90500,10,0.05,,10,45250.0
es,linea metro 6 madrid,90500,11,0,LOW,7,45250.0
pt,eleições autárquicas 2025,90500,14,0,LOW,8,45250.0
pt,eleicoes autarquicas 2025,90500,14,0,LOW,8,45250.0
pt,meteorologia em agualva cacém,33100,1,0.29,LOW,10,45136.4
pt,aeroporto francisco sá carneiro,165000,34,0.36,LOW,8,45000.0
es,estación de chamartín madrid,33100,0,0.04,LOW,9,44685.0
es,estación de autobuses de pamplona,33100,0,0.46,LOW,9,44685.0
es,tiempo Alicante,165000,27,0.04,,10,44594.6
pt,tempo Leiria,74000,7,0.31,,10,43529.4
es,playa puerto banús,40500,0,0.22,LOW,7,42525.0
pt,ribeira porto,40500,0,0.63,LOW,7,42525.0
es,vuelos baratos,550000,95,0.45,HIGH,8,41904.8
pt,previsão do tempo,165000,50,0.34,LOW,10,41250.0
pt,meteorologia sintra,49500,8,0.22,LOW,10,41250.0
es,puerto del carmen,74000,9,0.78,LOW,7,40894.7
es,estación de carga de vehículos eléctricos,60500,10,0.25,LOW,9,40837.5
pt,vila do conde tempo,27100,0,0,LOW,10,40650.0
es,mapa política españa,60500,2,0.03,MEDIUM,8,40333.3
es,el tiempo: vigo,90500,24,0,LOW,10,39926.5
pt,preços dos combustíveis próxima semana,33100,0,0,LOW,8,39720.0
pt,chegadas aeroporto lisboa,33100,0,0.55,LOW,8,39720.0
pt,chegada aeroporto porto,33100,0,0.27,LOW,8,39720.0
pt,chegadas aeroporto porto,33100,0,0.27,LOW,8,39720.0
pt,chegadas aeroporto madeira,33100,0,8.17,LOW,8,39720.0
es,horario republica dominicana,33100,0,0,LOW,8,39720.0
es,tarifa luz mañana,33100,0,2.08,LOW,8,39720.0
es,ikea gran canaria,49500,0,0.03,MEDIUM,8,39600.0
pt,metro porto,90500,6,0.81,,7,39593.8
pt,meteorologia vila real,49500,9,0.17,LOW,10,39078.9
es,estación de autobuses de a coruña,40500,4,0.43,LOW,9,39053.6
es,islas canarias,110000,24,0.13,LOW,8,38823.5
pt,meteorologia em santo tirso,33100,3,0.2,LOW,10,38192.3
pt,meteorologia matosinhos,60500,14,0,LOW,10,37812.5
es,estación de madrid puerta de atocha,33100,2,0.26,LOW,9,37237.5
es,aemet alicante,74000,20,0,LOW,10,37000.0
es,precio de la luz mañana,74000,14,2.76,LOW,8,37000.0
es,el tiempo en el puerto de santa maria,90500,27,0,LOW,10,36689.2
es,estación Chamartín,40500,0,0.09,,9,36450.0
es,metro madrid,301000,48,0.64,,7,36327.6
es,aeropuerto madrid barajas t4 madrid,90500,20,0.36,LOW,8,36200.0
pt,ceramicas na linha,33100,1,0.19,LOW,8,36109.1
es,aemet madrid por horas,40500,7,0,LOW,10,35735.3
es,calidad aire,201000,35,0.24,,8,35733.3
pt,meteorologia cascais,33100,4,0.23,LOW,10,35464.3
es,radar lluvia,165000,32,0.18,,9,35357.1
es,tiempo: algeciras,49500,11,0,LOW,10,35357.1
es,tiempo en algeciras,49500,11,0,LOW,10,35357.1
es,plano de metro de madrid,90500,17,0.04,LOW,7,35194.4
es,valencia madrid en ave,74000,9,0.77,MEDIUM,9,35052.6
pt,porto arouca,33100,0,0.32,LOW,7,34755.0
pt,porto da cruz,33100,0,0.38,LOW,7,34755.0
pt,restaurantes porto,33100,0,0.29,LOW,7,34755.0
es,metro madrid linea 6,90500,18,0,LOW,7,33937.5
pt,aeroporto,90500,22,0.07,LOW,8,33937.5
pt,meteorologia felgueiras,27100,2,0.37,LOW,10,33875.0
pt,ponte de lima tempo,22200,0,0,LOW,10,33300.0
pt,meteorologia torres vedras,33100,5,0,LOW,10,33100.0
es,el corte ingles canarias,90500,23,0.04,LOW,8,32909.1
es,clima madrid hoy,74000,24,1.58,LOW,10,32647.1
es,canarias apagon,27100,0,0,LOW,8,32520.0
pt,partidas aeroporto lisboa,27100,0,0.37,LOW,8,32520.0
es,madrid cercanias horarios,74000,21,1.03,LOW,9,32225.8
es,aemet en huelva,40500,9,0,LOW,10,31973.7
es,renfe cercanias sevilla,33100,4,0.72,LOW,9,31917.9
es,nota examen dgt,49500,11,2.29,LOW,9,31821.4
es,tiempo huelva,74000,25,0,LOW,10,31714.3
es,ave valencia madrid,74000,11,0.77,MEDIUM,9,31714.3
es,línea 6 metro madrid,90500,20,0,LOW,7,31675.0
es,linea 6 de metro madrid,90500,20,0,LOW,7,31675.0
es,linea 7 de metro madrid,33100,1,0,LOW,7,31595.5
pt,classificações de liga europa,60500,13,0,LOW,8,31565.2
pt,tempo em povoa de varzim,33100,6,0.39,LOW,10,31031.2
es,república dominicana hora,33100,3,0,LOW,8,30553.8
es,republica dominicana hora,33100,3,0,LOW,8,30553.8
es,hora en republica dominicana,33100,3,0,LOW,8,30553.8
es,republica dominicana horario,33100,3,0,LOW,8,30553.8
es,hora en la república dominicana,33100,3,0,LOW,8,30553.8
es,aeropuerto,201000,69,0.22,LOW,8,30531.6
es,resultados examen dgt,49500,12,0,LOW,9,30375.0
es,hora canaria,40500,6,0,LOW,8,30375.0
pt,meteorologia albufeira,22200,1,0,LOW,10,30272.7
es,tiempo madrid 14 dias,74000,27,0,LOW,10,30000.0
es,cercanías sevilla,33100,0,0.77,,9,29790.0
es,cercanías Sevilla,33100,0,0.77,,9,29790.0
es,linea 6 metro madrid,90500,22,0,LOW,7,29695.3
pt,meteorologia oeiras,27100,4,0.14,LOW,10,29035.7
pt,meteorologia quarteira,27100,4,0.24,LOW,10,29035.7
pt,quarteira meteorologia,27100,4,0.24,LOW,10,29035.7
pt,tempo cascais,27100,4,0.25,LOW,10,29035.7
pt,parque da cidade do porto,33100,2,0.33,LOW,7,28962.5
es,el tiempo en madrid 14 dias,135000,60,0.01,LOW,10,28928.6
pt,tempo Viseu,60500,11,0,,10,28809.5
es,metro madrid línea 6,90500,23,0,LOW,7,28795.5
es,manzanares el real,74000,21,1.21,LOW,8,28645.2
es,horario canarias,40500,7,0,LOW,8,28588.2
pt,shopping cidade do porto,27100,0,0.16,LOW,7,28455.0
es,cinesa puerto venecia,27100,0,0.02,LOW,7,28455.0
pt,porto moreirense,27100,0,0.86,LOW,7,28455.0
pt,abadia do porto,27100,0,0.36,LOW,7,28455.0
pt,braga porto,27100,0,0.7,LOW,7,28455.0
pt,porto vitoria sc,27100,0,0,LOW,7,28455.0
pt,stcp horários,27100,0,0.6,LOW,7,28455.0
pt,stcp horário,27100,0,0.6,LOW,7,28455.0
es,cercanias valencia,60500,19,0.78,LOW,9,28163.8
pt,meteorologia vale de cambra,22200,2,0,LOW,10,27750.0
es,puerto real,49500,9,0.91,LOW,7,27355.3
es,estación de autobuses sur,40500,10,0.14,LOW,9,27337.5
pt,meteorologia famalicão,27100,5,0,LOW,10,27100.0
es,dgt multas,110000,45,1.95,LOW,9,27000.0
pt,sé do porto,33100,3,0.29,LOW,7,26734.6
es,el tiempo barcelona hoy,60500,24,0,LOW,10,26691.2
es,hora republica dominicana,33100,5,0,LOW,8,26480.0
es,vuelos a tenerife,33100,0,0.48,HIGH,8,26480.0
es,moto electrica,33100,0,0.31,HIGH,8,26480.0
es,madrid clima hoy,74000,32,1.58,LOW,10,26428.6
pt,meteorologia ponte de lima,33100,9,0,LOW,10,26131.6
pt,meteorologia figueira da foz,33100,9,0.37,LOW,10,26131.6
pt,tempo amanhã lisboa,33100,9,0.21,LOW,10,26131.6
es,horario renfe cercanias,110000,47,1.16,LOW,9,26052.6
es,linea metro 5 madrid,49500,10,0,LOW,7,25987.5
pt,lusiadas porto,49500,10,0.04,LOW,7,25987.5
es,horario metro bilbao,49500,10,0.53,LOW,7,25987.5
pt,clima lisboa,60500,25,0,LOW,10,25928.6
es,aeropuerto madrid barajas t4,90500,32,0.36,LOW,8,25857.1
es,cercanias madrid,110000,48,0.88,LOW,9,25603.4
pt,tempo em lisboa hoje,40500,14,0.15,LOW,10,25312.5
pt,resultado porto,33100,4,0,LOW,7,24825.0
pt,meteorologia ponta delgada,33100,10,0.19,LOW,10,24825.0
es,tiempo en 14 dias madrid,74000,35,0,LOW,10,24666.7
es,clima barcelona,110000,57,3.18,LOW,10,24626.9
pt,instituto de meteorologia,110000,57,0,LOW,10,24626.9
es,tiempo barcelona hoy,60500,27,0,LOW,10,24527.0
pt,vila das aves,18100,0,0.27,LOW,9,24435.0
es,aeropuerto de la coruña,40500,10,1.19,LOW,8,24300.0
es,el tiempo ciudad real,90500,46,0,LOW,10,24241.1
es,ibex 35 hoy tiempo real,74000,36,1.41,LOW,10,24130.4
es,ibex 35 en tiempo real hoy,74000,36,1.41,LOW,10,24130.4
pt,aeroporto lisboa,49500,15,1.83,LOW,8,23760.0
es,metro de madrid linea 6,90500,30,0,LOW,7,23756.2
es,ikea en canarias,74000,15,0.03,MEDIUM,8,23680.0
es,línea 5 metro madrid,49500,12,0,LOW,7,23625.0
es,madrid metro linea 1,40500,8,0,LOW,7,23625.0
es,el tiempo en Murcia,110000,37,0,,10,23404.3
pt,emprego porto,22200,0,0.11,LOW,7,23310.0
pt,porto benfica hoje,22200,0,0.99,LOW,7,23310.0
pt,garden porto,22200,0,0.51,LOW,7,23310.0
es,horarios cercanias madrid,74000,33,1.03,LOW,9,23232.6
es,metro sevilla,33100,0,0.75,,7,23170.0
es,hora en canarias,40500,11,0,LOW,8,23142.9
pt,meteorologia bragança,18100,2,0,LOW,10,22625.0
pt,meteorologia marco de canaveses,18100,2,0,LOW,10,22625.0
pt,ipma tempo,135000,50,0.18,,10,22500.0
es,aeropuerto barcelona,90500,39,1.14,LOW,8,22163.3
es,cita previa dgt,60500,27,1.72,LOW,9,22074.3
es,vuelos a londres,33100,2,0.49,HIGH,8,22066.7
es,el tiempo en las palmas de gran canaria,110000,65,0.31,LOW,10,22000.0
es,el tiempo en ciudad real,90500,52,0,LOW,10,21895.2
es,tiempo Palma,74000,24,0,,10,21764.7
es,linea 9 metro madrid,33100,6,0,LOW,7,21721.9
es,renfe cercanias bilbao,33100,11,0.4,LOW,9,21278.6
pt,meteorologia torres novas,22200,6,0.74,LOW,10,20812.5
pt,porto jogos,49500,15,0.75,LOW,7,20790.0
pt,aeroporto porto,49500,19,2.68,LOW,8,20482.8
es,renfe cercanias valencia,60500,30,0.79,LOW,9,20418.8
pt,aeroporto lisboa chegadas,33100,3,0.55,,8,20369.2
pt,porto braga,27100,4,0.73,LOW,7,20325.0
es,puerto de navacerrada,40500,11,0.24,LOW,7,20250.0
pt,tempo Aveiro,74000,27,0.21,,10,20000.0
pt,aveiro portugal,22200,5,1.09,LOW,9,19980.0
pt,porto vs rio ave,14800,0,0,LOW,9,19980.0
es,tiempo: guadalajara,40500,21,0.69,LOW,10,19596.8
es,museu d'art contemporani de barcelona,49500,28,0.4,LOW,10,19539.5
es,valencia tiempo hoy,49500,28,0,LOW,10,19539.5
es,el tiempo en madrid aemet,74000,47,0,LOW,10,19473.7
es,aeropuerto t1-t2-t3,40500,15,0.17,LOW,8,19440.0
pt,piscinas naturais do porto moniz,22200,2,0.31,LOW,7,19425.0
pt,porto campanha,22200,2,1.35,LOW,7,19425.0
es,rodalies,110000,41,0.77,,9,19411.8
es,linea metro 1 madrid,40500,12,0,LOW,7,19329.5
es,el tiempo: barcelona hoy,60500,37,0,LOW,10,19308.5
es,puerto de barcelona,33100,8,0.47,LOW,7,19308.3
es,el tiempo a 14 días en madrid,135000,96,0.01,LOW,10,19103.8
es,velez malaga tiempo,33100,16,0,LOW,10,19096.2
pt,escalações de futebol clube do porto x benfica,18100,0,0,LOW,7,19005.0
pt,francesinha porto,18100,0,0.31,LOW,7,19005.0
pt,galeria de paris porto,18100,0,0.09,LOW,7,19005.0
pt,metro em lisboa mapa,27100,5,0.19,LOW,7,18970.0
pt,benfica bilhetes,40500,16,0.47,LOW,8,18692.3
es,puerto del rosario,60500,24,0.85,LOW,7,18683.8
es,renfe cercanias asturias,33100,14,0,LOW,9,18618.8
pt,caldas da rainha meteorologia,14800,2,0,LOW,10,18500.0
pt,clima em porto,33100,17,0.37,LOW,10,18388.9
pt,meteorologia em mirandela,18100,5,0,LOW,10,18100.0
pt,porto-vitória sc,27100,6,0,LOW,7,17784.4
pt,aeroporto de lisboa chegadas,14800,0,0.32,LOW,8,17760.0
pt,chegadas ao aeroporto de lisboa,14800,0,0.32,LOW,8,17760.0
pt,resultado eleições autárquicas 2025,14800,0,0,LOW,8,17760.0
es,tiempo velez malaga,33100,18,0,LOW,10,17732.1
